41790.66944,9735.01
41790.67083,10074.25
41790.67222,10391.24
41790.67361,10676.23
41790.675,11003.28
41790.67639,11343.13
41790.67778,11720.17
41790.67917,12062.46
41790.68056,12376.4
41790.68194,12661.39
41790.68333,12966.5
41790.68472,13274.65
41790.68611,13630.66
41790.6875,13984.53
41790.68889,14344.5
41790.69028,14688.62
41790.69167,15086.69
41790.69306,15477.74
41790.69444,15858.74
41790.69583,16244.01
41790.69722,16607.03
41790.69861,17005.1
41790.7,17378.17
41790.70139,17763.13
41790.70278,18229.17
41790.70417,18643.09
41790.70556,19055.18
41790.70694,19478.24
41790.70833,19891.25
41790.70972,20287.49
41790.71111,20706.59
41790.7125,21142.45
41790.71389,21582.58
41790.71528,22006.56
41790.71667,22440.6
41790.71806,22877.68
41790.71944,23308.67
41790.72083,23742.7
41790.72222,24185.88
41790.72361,24655.88
41790.725,25134.11
41790.72639,25591.01
41790.72778,26029.01
41790.72917,26480.11
41790.73056,26924.2
41790.73194,27389.33
41790.73333,27870.3
41790.73472,28352.5
41790.73611,28841.4
41790.7375,29322.37
41790.73889,29805.48
41790.74028,30298.64
41790.74167,30761.64
41790.74306,31259.68
41790.74444,31798.87
41790.74722,32785.81
41790.75,33766.05
41790.75139,34275.06
41790.75278,34798.1
41790.75417,35253.17
41790.75556,35766.45
41790.75694,36287.35
41790.75833,36821.36
41790.75972,37304.47
41790.76111,37805.56
41790.7625,38344.75
41790.76389,38816.58
41790.76528,39262.81
41790.76667,39630.71
41790.76806,39991.89
41790.76944,40363.75
